Product,Date,Sales,Quantity,Region
Product A,2020-01-24,2242.79,32,Central
Product B,2021-11-01,795.72,42,South
Product B,2021-01-24,1044.16,9,Central
Product E,2021-03-26,913.56,34,East
Product E,2023-02-06,2203.48,23,North
Product B,2022-06-19,836.4,84,South
Product B,2019-11-23,4488.59,12,East
Product E,2023-06-10,3966.24,52,North
Product A,2024-07-03,4963.79,14,East
Product D,2024-08-27,328.32,13,East
Product D,2023-01-08,2993.62,35,East
Product E,2023-10-18,4953.44,93,South
Product B,2021-01-06,117.41,24,South
Product D,2023-08-23,3576.48,94,Central
Product C,2020-07-13,1170.2,43,Central
Product E,2020-10-30,1719.74,64,Central
Product B,2024-08-13,3540.93,61,East
Product E,2024-07-13,1376.05,35,North
Product A,2022-03-22,1875.17,80,South
Product C,2023-09-12,1051.97,18,Central
Product B,2020-08-06,4438.79,25,South
Product D,2020-08-17,3991.09,58,West
Product C,2023-03-18,2183.3,38,East
Product E,2021-03-25,4645.56,6,North
Product C,2020-04-15,4150.6,52,South
Product E,2023-06-04,4877.94,9,South
Product A,2021-01-12,3372.18,27,West
Product A,2023-05-01,1042.43,86,West
Product D,2020-03-18,3217.03,92,Central
Product E,2023-10-11,890.13,57,West
Product D,2023-06-21,2958.45,68,East
Product D,2023-09-17,673.1,48,West
Product D,2022-05-23,1288.85,18,South
Product B,2020-08-17,4954.33,20,North
Product C,2022-09-06,3121.89,22,South
Product C,2020-02-24,1290.55,63,South
Product D,2021-06-19,1134.14,58,East
Product B,2022-06-14,298.57,72,Central
Product D,2020-04-16,1010.92,13,West
Product E,2021-06-29,3207.98,67,Central
Product C,2020-08-20,3163.78,52,South
Product B,2022-09-09,3855.56,10,East
Product E,2021-08-03,2486.99,14,Central
Product D,2020-06-08,2482.29,5,Central
Product B,2021-05-19,197.34,15,North
Product A,2023-01-14,1974.22,38,East
Product B,2021-04-07,1631.97,85,East
Product D,2023-10-13,2397.26,33,East
Product A,2021-05-02,160.03,24,North
Product A,2020-10-21,4053.89,10,East
Product C,2024-01-05,4780.52,97,South
Product B,2021-05-13,1997.53,32,East
Product A,2020-04-14,3976.89,17,South
Product C,2024-02-12,3350.36,45,Central
Product B,2023-07-17,3042.08,81,South
Product B,2021-04-03,2852.1,89,North
Product D,2023-10-08,2737.46,34,East
Product A,2021-05-27,1175.17,14,North
Product A,2024-03-05,2684.95,27,East
Product D,2023-07-31,2689.24,69,Central
Product E,2020-01-30,893.78,84,Central
Product B,2022-01-09,2142.61,13,South
Product A,2023-02-15,3360.0,77,East
Product B,2024-04-22,2755.43,85,North
Product A,2020-10-31,2914.36,66,Central
Product D,2023-09-08,570.56,26,West
Product E,2022-12-11,575.74,8,Central
Product C,2023-02-06,2668.58,21,East
Product B,2021-03-19,756.63,35,East
Product D,2024-04-30,306.4,11,Central
Product A,2020-11-22,4205.23,21,East
Product E,2024-04-25,2464.08,38,North
Product A,2022-11-13,133.28,49,Central
Product A,2022-09-20,3193.31,53,Central
Product A,2023-06-27,1518.14,94,South
Product C,2024-04-09,378.34,71,East
Product B,2020-01-23,1052.97,88,West
Product D,2021-09-26,2981.02,47,Central
Product B,2023-03-08,1844.62,27,North
Product E,2021-01-13,312.46,98,West
Product D,2021-11-04,127.5,100,North
Product E,2023-12-14,1130.41,44,West
Product E,2022-11-21,268.35,26,Central
Product E,2020-04-03,319.48,85,West
Product D,2022-02-18,3325.87,30,West
Product A,2023-05-02,579.25,11,Central
Product A,2022-03-22,3933.37,44,West
Product A,2020-03-01,4309.1,40,West
Product A,2019-12-20,2195.01,93,North
Product D,2023-04-17,1937.94,30,North
Product E,2023-02-05,2207.79,70,North
Product B,2020-10-18,1661.63,82,Central
Product D,2024-01-29,3415.58,15,East
Product D,2024-03-13,2086.71,50,South
Product E,2023-07-06,2838.87,12,East
Product D,2023-04-28,4316.81,5,West
Product A,2024-09-23,4344.7,69,East
Product A,2021-08-07,3839.79,95,Central
Product E,2020-10-31,173.23,100,Central
Product C,2020-09-15,4965.88,5,Central
