Product,Date,Sales,Quantity,Region
Product C,2024-01-14,1734.31,72,North
Product A,2019-12-31,3833.13,60,West
Product E,2019-11-24,3459.59,82,North
Product C,2023-02-24,297.17,40,Central
Product B,2022-08-03,1444.73,56,Central
Product E,2021-01-25,237.33,84,West
Product A,2021-04-21,4968.61,91,East
Product D,2024-07-06,3646.93,18,West
Product E,2020-08-04,773.91,78,Central
Product D,2023-08-23,4827.24,70,East
Product B,2021-05-17,3702.59,96,Central
Product B,2021-12-21,1343.41,93,Central
Product E,2023-09-20,944.36,53,East
Product E,2021-04-11,2074.23,75,South
Product C,2021-12-03,261.53,91,South
Product D,2024-01-22,4264.49,7,North
Product C,2022-06-09,154.98,26,South
Product A,2020-03-03,335.75,64,West
Product D,2024-03-25,2193.7,94,North
Product E,2020-05-04,4756.25,84,Central
Product C,2024-05-22,4395.8,54,Central
Product C,2022-04-22,1703.74,1,Central
Product B,2023-12-28,247.78,32,North
Product B,2024-02-01,3800.93,64,East
Product C,2022-03-22,1694.94,21,West
Product E,2019-12-15,2146.33,57,East
Product C,2021-11-18,941.9,47,Central
Product D,2023-02-26,3365.95,49,East
Product A,2022-07-04,163.39,77,South
Product E,2021-04-01,3732.5,34,West
Product D,2023-12-05,2188.32,75,West
Product E,2022-07-05,3260.68,6,Central
Product B,2022-09-05,3928.91,52,West
Product C,2022-08-23,537.79,49,Central
Product C,2024-04-09,2095.77,8,East
Product A,2020-08-23,3850.34,21,North
Product E,2024-02-01,3223.33,54,South
Product E,2022-10-27,286.59,98,West
Product A,2020-10-06,627.76,81,South
Product C,2020-03-19,1796.6,85,East
Product C,2021-04-14,307.9,82,East
Product A,2020-06-11,1835.19,50,West
Product E,2024-05-26,1517.06,45,North
Product D,2020-03-30,3639.0,4,South
Product A,2024-07-20,2917.47,87,Central
Product D,2024-06-02,3251.37,84,North
Product A,2020-02-20,3020.47,93,South
Product C,2023-06-08,1040.57,22,South
Product E,2022-01-07,287.03,87,South
Product E,2022-12-01,2675.85,75,North
Product A,2020-11-10,1506.32,98,Central
Product E,2020-05-02,4757.98,44,West
Product D,2022-06-23,1160.06,48,East
Product C,2022-04-11,2993.87,68,Central
Product D,2024-05-26,2863.68,35,North
Product C,2024-06-10,2479.44,21,Central
Product A,2022-09-02,1817.17,11,West
Product E,2022-01-15,2985.57,69,Central
Product C,2020-12-31,4666.78,6,North
Product D,2020-03-29,4347.09,54,South
Product B,2024-04-06,1074.39,93,West
Product C,2021-06-03,3705.98,81,South
Product E,2021-11-25,1038.24,73,Central
Product D,2024-11-05,499.42,75,Central
Product A,2021-10-23,3773.3,15,South
Product C,2019-12-06,2876.67,66,East
Product D,2020-09-22,4961.78,45,East
Product A,2023-04-29,1357.67,11,West
Product E,2021-07-24,4238.52,53,Central
Product E,2023-04-08,187.29,95,West
Product E,2021-02-04,2541.11,55,South
Product B,2020-08-31,3592.63,90,North
Product B,2023-06-17,1102.4,5,Central
Product B,2024-11-18,2016.34,52,South
Product B,2021-01-02,4515.95,9,South
Product A,2021-11-15,1083.98,89,West
Product A,2024-07-29,4585.61,26,South
Product C,2023-01-25,2514.68,90,South
Product D,2021-09-19,2928.36,37,East
Product E,2022-12-11,4594.52,86,North
Product B,2021-05-07,4779.04,60,East
Product E,2024-08-10,1388.9,86,South
Product B,2020-03-12,3194.73,87,Central
Product E,2021-12-28,628.81,23,Central
Product D,2023-03-05,4710.9,81,Central
Product D,2020-11-18,4854.11,16,Central
Product E,2022-10-11,3170.19,67,West
Product B,2020-02-05,950.02,52,East
Product E,2023-03-21,987.93,23,North
Product E,2021-07-18,4799.88,59,East
Product D,2022-08-20,2837.48,42,East
Product B,2021-05-10,3206.78,56,East
Product D,2021-09-26,1421.38,13,East
Product D,2023-03-04,536.76,85,Central
Product D,2022-04-14,2310.88,24,East
Product B,2023-03-17,1488.54,45,West
Product A,2022-12-30,4355.9,38,East
Product B,2020-07-28,2462.57,99,West
Product B,2019-12-18,4531.53,91,East
Product B,2021-07-08,4121.51,63,Central
