Product,Date,Sales,Quantity,Region
Product B,2022-10-31,1397.12,97,West
Product E,2021-12-16,4454.6,38,West
Product E,2023-04-18,2510.15,63,Central
Product E,2022-07-25,4812.32,11,West
Product C,2021-12-25,4823.85,94,South
Product D,2024-01-07,2873.38,34,South
Product B,2023-07-12,1485.07,47,East
Product E,2023-03-26,143.93,61,North
Product A,2022-07-18,2478.25,39,South
Product D,2024-08-11,2437.69,19,West
Product C,2020-05-04,831.01,90,Central
Product E,2020-03-06,3641.0,22,West
Product B,2020-08-27,1163.21,66,South
Product C,2024-06-08,4910.23,58,North
Product D,2024-08-13,511.11,89,West
Product A,2024-09-12,2681.06,6,North
Product E,2023-12-25,4336.86,61,West
Product B,2020-02-07,2967.23,68,Central
Product D,2022-12-01,2547.37,60,North
Product D,2024-06-08,4689.72,58,East
Product A,2020-05-23,294.35,73,Central
Product E,2023-11-17,2926.06,65,North
Product B,2022-03-21,2053.05,25,South
Product A,2024-03-20,758.54,26,West
Product B,2022-06-30,4016.32,75,East
Product C,2024-01-27,3098.45,78,South
Product C,2022-08-18,2490.8,15,Central
Product C,2021-09-04,4491.67,35,North
Product D,2020-10-27,3804.73,67,South
Product E,2022-07-12,468.34,49,Central
Product C,2023-09-27,283.54,41,South
Product E,2023-06-09,4869.1,87,East
Product B,2020-07-12,1098.83,89,West
Product D,2023-03-28,2898.45,18,South
Product D,2021-03-09,2678.44,74,North
Product B,2024-02-28,4868.73,26,East
Product C,2021-12-27,2081.05,44,West
Product C,2023-02-27,1247.9,89,North
Product B,2021-03-14,4142.63,22,East
Product C,2024-02-16,2120.08,35,North
Product E,2020-01-16,268.91,98,West
Product E,2024-03-03,2844.85,47,Central
Product E,2024-07-08,4162.46,45,North
Product A,2022-10-02,2373.46,53,Central
Product B,2022-05-29,545.56,52,North
Product D,2024-10-07,112.41,21,West
Product E,2020-09-07,1265.54,28,East
Product D,2020-03-02,576.82,39,North
Product A,2023-09-08,4084.99,61,South
Product A,2022-12-12,3350.0,4,South
Product E,2023-06-14,3098.41,85,Central
Product E,2022-05-26,2251.09,16,North
Product D,2023-07-23,4953.09,10,North
Product B,2020-07-26,1080.96,100,South
Product C,2023-10-19,642.13,93,North
Product E,2020-05-22,4364.48,79,South
Product B,2020-11-24,1570.2,35,South
Product C,2024-03-20,975.48,92,West
Product A,2024-09-22,2995.5,64,West
Product C,2024-03-16,3973.67,8,North
Product B,2024-07-28,294.29,9,West
Product D,2021-05-25,4178.05,69,East
Product A,2023-11-21,1707.02,12,North
Product E,2024-11-08,4724.62,44,Central
Product E,2022-10-16,3424.99,97,Central
Product C,2020-12-28,664.89,65,South
Product D,2021-04-20,4072.98,45,West
Product C,2024-10-29,844.78,38,North
Product D,2020-05-28,2918.52,58,West
Product B,2022-07-13,936.9,23,North
Product E,2020-11-09,453.64,96,South
Product D,2021-12-17,3165.45,24,West
Product C,2022-10-17,2943.26,73,South
Product E,2020-06-09,114.58,72,East
Product D,2022-11-15,607.51,73,East
Product A,2020-10-07,236.5,25,Central
Product B,2023-03-23,4102.91,6,South
Product A,2022-03-15,815.09,26,East
Product D,2024-03-22,1395.55,38,Central
Product C,2020-02-25,4462.25,4,East
Product C,2023-02-04,4940.18,73,South
Product D,2021-12-29,592.15,82,South
Product D,2024-01-29,4986.18,77,North
Product B,2021-09-28,1845.18,73,North
Product D,2024-08-14,4861.93,23,North
Product E,2023-11-22,2684.69,51,East
Product D,2023-09-10,4791.5,21,East
Product A,2023-05-19,226.88,55,Central
Product B,2024-04-10,3520.01,4,East
Product D,2022-02-13,4332.53,66,Central
Product B,2020-03-31,2104.7,8,East
Product A,2023-03-14,4428.36,37,West
Product E,2024-03-10,374.98,92,North
Product D,2020-08-19,2253.11,80,West
Product D,2024-08-29,2618.16,16,South
Product B,2023-02-14,1682.91,86,East
Product E,2020-12-02,1517.34,19,South
Product B,2024-10-25,2379.36,32,Central
Product D,2024-04-08,1776.73,38,Central
Product D,2020-09-10,4386.92,81,East
