Product,Date,Sales,Quantity,Region
Product C,2020-07-21,2342.55,32,East
Product C,2022-04-07,174.26,75,Central
Product A,2023-06-21,659.86,96,South
Product A,2023-10-02,1428.08,38,Central
Product D,2022-04-16,1082.2,42,Central
Product B,2023-08-23,4299.48,66,South
Product D,2024-05-02,2779.58,98,North
Product C,2022-07-09,3637.27,39,East
Product C,2020-09-26,2115.11,69,North
Product B,2023-11-18,3857.63,75,East
Product A,2024-01-05,3708.82,2,North
Product E,2023-11-15,607.44,31,Central
Product C,2023-12-14,2128.73,64,East
Product D,2022-05-27,4714.77,7,Central
Product C,2023-04-23,4654.86,69,West
Product A,2022-11-27,1172.79,2,South
Product E,2024-08-05,4091.13,52,Central
Product B,2024-11-12,3383.25,18,South
Product E,2024-07-04,864.57,52,West
Product C,2021-09-15,3747.51,62,Central
Product D,2020-01-05,2902.23,71,East
Product A,2024-01-14,3333.06,38,East
Product E,2022-09-13,1678.89,35,East
Product D,2023-04-01,2576.5,37,North
Product B,2020-07-21,1122.59,30,West
Product B,2021-10-22,584.79,8,East
Product D,2022-06-21,984.07,3,Central
Product A,2024-06-23,3762.39,70,North
Product B,2023-10-21,3186.4,20,South
Product A,2023-12-12,3719.36,27,West
Product E,2022-08-22,4055.39,43,Central
Product E,2023-09-01,2109.0,97,South
Product C,2020-10-25,3600.39,17,East
Product E,2023-03-10,4370.76,2,West
Product A,2023-05-25,4243.37,25,Central
Product D,2020-03-21,2417.67,96,East
Product D,2021-11-16,4993.49,67,Central
Product B,2022-04-16,2199.29,20,West
Product A,2020-03-27,564.51,41,North
Product E,2022-08-22,4163.16,28,East
Product C,2023-12-08,1403.62,93,Central
Product A,2020-01-17,2900.88,29,Central
Product B,2022-11-12,3471.39,94,North
Product E,2023-03-09,2608.3,37,North
Product A,2020-07-23,4986.21,9,Central
Product E,2023-01-02,448.61,67,Central
Product A,2022-11-07,1403.42,72,West
Product C,2020-08-08,1207.54,26,Central
Product E,2022-07-08,1645.06,39,North
Product D,2022-04-02,4407.46,18,South
Product B,2022-09-06,4240.37,1,South
Product B,2021-04-22,4926.61,5,Central
Product A,2020-03-19,949.55,57,East
Product C,2021-07-22,1410.15,44,South
Product D,2023-01-31,4588.1,47,West
Product E,2020-08-18,1108.62,9,Central
Product E,2023-02-17,4830.69,84,North
Product A,2022-05-24,1444.88,95,West
Product D,2021-06-02,4196.79,55,West
Product D,2022-12-09,303.69,45,North
Product C,2023-12-28,1994.84,65,West
Product B,2022-05-18,1735.52,62,North
Product A,2024-03-28,3576.0,93,North
Product D,2022-03-24,1459.55,81,West
Product D,2023-09-04,3380.49,4,South
Product B,2022-07-01,4391.81,6,West
Product C,2021-04-25,2571.72,15,South
Product E,2024-07-13,512.85,52,South
Product C,2022-08-23,914.08,9,South
Product D,2020-01-05,4629.48,38,East
Product D,2022-05-26,4391.71,56,East
Product B,2020-07-01,4896.55,79,South
Product B,2020-12-26,1883.27,12,South
Product A,2020-02-28,2720.21,100,North
Product D,2024-06-12,3830.75,80,Central
Product E,2023-11-13,2615.69,67,Central
Product D,2023-01-10,348.3,54,Central
Product B,2020-04-14,534.45,6,East
Product D,2023-11-30,4509.4,3,South
Product E,2022-08-14,2544.8,53,West
Product E,2024-03-24,1700.66,38,West
Product E,2021-11-07,1614.23,80,West
Product B,2022-10-30,4977.94,61,North
Product A,2021-05-01,4836.81,66,East
Product C,2023-05-12,144.22,86,East
Product D,2023-04-19,1232.92,83,South
Product E,2021-03-09,2268.28,71,West
Product D,2020-03-27,2551.76,63,West
Product B,2023-06-29,390.26,71,South
Product E,2022-03-30,750.11,60,Central
Product D,2021-06-25,1711.24,74,East
Product A,2022-07-11,3750.69,17,South
Product A,2020-07-09,3959.31,94,Central
Product C,2021-08-20,3915.41,6,West
Product C,2023-11-17,3252.59,27,Central
Product D,2023-12-01,4970.53,38,Central
Product C,2023-11-14,1751.39,46,West
Product B,2021-08-26,790.91,86,East
Product D,2022-09-10,4468.38,79,South
Product A,2023-06-22,2045.1,49,Central
