Product,Date,Sales,Quantity,Region
Product B,2020-08-12,1673.38,30,Central
Product D,2020-05-16,1222.16,57,North
Product E,2024-07-11,4872.8,78,West
Product A,2022-02-21,3827.23,48,South
Product D,2024-01-17,2914.29,38,South
Product A,2023-05-06,782.44,30,Central
Product D,2020-09-12,3584.18,66,Central
Product D,2022-08-17,2051.78,51,South
Product E,2022-07-18,3873.35,14,West
Product A,2024-11-08,4978.05,47,East
Product D,2023-07-29,266.53,18,West
Product D,2022-06-27,2894.14,21,Central
Product A,2023-09-08,2479.2,87,Central
Product B,2024-04-02,4304.91,92,West
Product D,2022-12-03,3821.19,69,Central
Product B,2022-06-17,1218.42,3,West
Product A,2021-12-10,3105.93,22,North
Product A,2022-12-20,4945.84,60,North
Product B,2020-04-04,1151.75,46,North
Product E,2023-03-19,1946.34,75,East
Product B,2021-04-02,4453.72,23,West
Product C,2024-04-13,2529.06,52,West
Product A,2020-10-11,3962.28,78,West
Product E,2023-09-21,812.37,84,North
Product A,2022-04-26,1815.57,47,North
Product D,2023-07-02,3745.18,85,South
Product D,2021-10-15,4353.95,87,South
Product D,2022-02-22,3125.09,33,North
Product C,2020-07-16,2724.06,21,West
Product D,2021-09-24,605.95,19,Central
Product E,2024-02-24,2868.65,100,Central
Product A,2024-08-26,3993.21,36,South
Product D,2023-02-07,4819.16,77,North
Product A,2020-11-21,939.35,40,North
Product B,2023-09-16,3493.94,6,Central
Product C,2021-04-03,230.65,27,East
Product C,2024-07-22,693.51,54,Central
Product D,2021-07-17,685.42,43,Central
Product C,2023-09-10,4085.11,6,Central
Product D,2024-01-26,3211.82,7,Central
Product B,2022-07-01,1229.24,15,East
Product B,2024-06-17,3627.38,75,East
Product E,2023-07-22,4344.76,62,East
Product B,2022-01-08,676.62,59,East
Product E,2022-04-05,1548.41,23,West
Product A,2020-12-05,4606.69,80,East
Product B,2021-09-27,941.12,67,North
Product E,2021-05-01,464.54,54,Central
Product C,2021-03-01,4112.13,45,South
Product A,2024-07-19,3176.48,100,North
Product C,2019-12-31,942.51,47,Central
Product A,2023-06-29,2966.65,57,East
Product E,2020-11-02,1164.04,81,East
Product A,2023-02-21,1482.64,69,West
Product A,2022-02-12,523.29,84,West
Product B,2023-05-24,121.61,94,West
Product D,2020-01-25,788.38,56,Central
Product D,2023-09-14,3288.99,21,North
Product D,2021-02-03,4383.13,39,South
Product B,2024-03-20,1653.83,44,North
Product E,2020-02-05,3719.06,88,West
Product E,2024-08-13,2216.67,28,West
Product B,2020-09-22,2553.99,36,West
Product C,2020-07-29,3275.71,39,North
Product E,2024-02-17,257.44,38,West
Product B,2021-07-04,1872.51,46,North
Product B,2022-05-07,556.08,93,North
Product A,2021-10-24,3108.45,78,Central
Product E,2020-07-27,3464.53,48,East
Product C,2022-08-24,2172.97,86,South
Product D,2023-04-18,3974.41,21,Central
Product A,2022-04-19,2572.55,76,North
Product E,2021-07-27,3709.06,67,South
Product B,2023-02-05,4829.25,44,West
Product E,2021-03-17,1553.38,7,East
Product A,2020-08-16,2818.76,73,West
Product E,2024-01-27,4831.06,71,West
Product C,2023-05-05,3803.54,28,South
Product E,2023-02-16,2412.19,60,Central
Product C,2020-02-01,2911.96,4,North
Product E,2020-12-14,3377.92,54,South
Product B,2022-08-21,399.57,6,Central
Product C,2022-10-22,1053.8,35,East
Product B,2022-08-19,2351.81,58,Central
Product B,2020-06-15,4845.26,5,Central
Product E,2021-04-07,3842.1,92,Central
Product E,2021-12-18,3249.14,10,Central
Product E,2019-12-21,3072.34,37,West
Product E,2021-07-06,403.15,59,West
Product E,2021-07-08,2100.91,46,Central
Product E,2021-06-30,1520.2,65,North
Product C,2023-06-06,4725.9,34,Central
Product A,2020-09-07,1778.98,16,North
Product D,2024-07-18,4525.49,68,West
Product C,2020-03-08,1327.3,57,East
Product B,2022-06-21,4806.14,68,West
Product C,2022-06-12,2031.3,1,Central
Product D,2022-03-01,4068.31,46,North
Product C,2024-05-31,2892.1,57,East
Product C,2021-08-16,2955.46,54,Central
