Product,Date,Sales,Quantity,Region
Product E,2020-12-29,1202.53,1,South
Product E,2023-06-12,4794.15,65,West
Product E,2024-09-10,162.24,58,Central
Product C,2022-12-16,3899.85,22,South
Product C,2024-01-30,3055.09,4,Central
Product B,2019-11-26,3196.66,3,East
Product D,2020-03-01,2134.53,39,East
Product D,2023-08-28,1061.09,61,Central
Product E,2020-06-22,2407.2,31,West
Product C,2021-01-14,1033.42,35,East
Product E,2022-07-18,3754.61,96,North
Product A,2020-09-07,4680.96,49,South
Product C,2021-07-26,626.1,2,East
Product B,2023-04-03,148.58,43,Central
Product C,2022-05-17,612.69,2,North
Product B,2021-05-01,619.88,82,Central
Product C,2020-04-28,1828.81,96,North
Product D,2022-03-08,2372.87,67,East
Product C,2024-11-19,4909.16,60,East
Product E,2021-07-03,1458.99,31,North
Product D,2022-12-19,2482.95,46,West
Product D,2022-10-10,3785.45,75,Central
Product D,2022-06-10,4471.68,56,North
Product D,2021-10-14,4816.37,13,East
Product C,2022-01-05,2301.54,71,North
Product A,2021-02-19,349.79,38,West
Product B,2020-01-24,3196.29,51,Central
Product D,2024-10-12,1533.38,56,South
Product D,2022-05-22,1507.48,73,East
Product C,2020-01-16,861.25,77,East
Product C,2023-09-07,2138.85,42,West
Product A,2021-05-30,2239.49,94,West
Product B,2021-06-01,4406.71,62,Central
Product A,2024-03-27,4686.02,35,South
Product A,2021-07-16,2765.73,31,East
Product C,2020-06-19,1479.56,4,North
Product B,2024-03-08,1738.11,56,Central
Product A,2022-02-17,4027.42,35,East
Product D,2022-04-20,941.67,80,South
Product C,2023-04-11,2150.84,35,South
Product D,2020-05-06,919.9,93,North
Product A,2021-11-10,4505.48,15,North
Product D,2023-01-28,4575.69,9,West
Product E,2021-11-14,4339.75,6,West
Product B,2023-09-22,1256.39,3,South
Product D,2022-11-15,260.31,21,West
Product A,2021-11-05,3423.32,52,South
Product D,2021-06-27,3416.43,26,South
Product E,2020-10-07,1450.09,22,North
Product E,2021-09-13,3168.77,69,East
Product D,2024-10-28,756.24,40,South
Product D,2021-12-02,111.07,7,South
Product C,2021-06-19,1667.19,54,Central
Product C,2021-12-24,445.17,61,Central
Product B,2019-12-29,4370.15,68,East
Product D,2023-01-12,4521.93,8,North
Product D,2023-08-10,3822.82,90,South
Product A,2020-01-27,1746.68,26,East
Product D,2023-12-25,862.15,10,West
Product B,2021-05-03,3217.07,27,East
Product C,2020-05-31,214.08,48,West
Product D,2022-01-17,3633.4,18,North
Product B,2020-06-05,3185.63,63,South
Product A,2019-11-25,1891.87,50,East
Product E,2024-09-20,2565.6,25,Central
Product D,2023-09-06,2573.47,100,North
Product A,2022-05-05,4113.25,63,North
Product A,2022-07-16,1263.27,2,North
Product E,2020-04-19,1472.52,54,Central
Product B,2021-12-11,4324.4,4,North
Product E,2022-07-01,1419.85,6,Central
Product E,2022-02-28,3445.37,90,North
Product E,2020-12-13,1018.02,35,West
Product C,2021-11-17,4142.94,97,North
Product C,2022-06-23,2175.04,65,West
Product E,2022-08-23,2624.14,79,West
Product A,2021-02-07,658.91,24,East
Product A,2023-01-17,4585.3,34,East
Product C,2020-07-02,3592.86,75,Central
Product D,2022-03-22,756.82,72,North
Product E,2022-09-25,4255.05,79,Central
Product C,2022-10-31,4707.04,77,North
Product D,2021-07-13,2528.83,55,West
Product E,2022-01-10,3934.23,89,North
Product C,2020-07-07,4348.84,15,North
Product E,2024-04-27,3050.75,32,Central
Product C,2023-04-09,1877.79,1,South
Product A,2021-09-22,4871.69,15,West
Product C,2021-06-28,4003.98,15,West
Product A,2020-12-03,2582.01,58,East
Product A,2022-06-21,2193.62,57,South
Product A,2020-03-31,2409.49,19,East
Product A,2024-10-13,2830.01,26,South
Product A,2023-03-02,3475.98,17,Central
Product B,2020-02-18,4061.46,4,East
Product D,2020-06-12,3442.85,58,North
Product C,2021-02-03,3709.35,63,East
Product D,2020-05-02,4627.3,83,West
Product B,2024-02-13,4053.39,92,East
Product D,2019-12-05,2974.05,53,South
