Product,Date,Sales,Quantity,Region
Product C,2021-08-27,676.88,94,South
Product E,2022-03-26,2081.4,55,Central
Product A,2021-09-13,2594.55,26,East
Product D,2021-02-03,2890.66,62,South
Product C,2024-10-26,1359.69,69,North
Product A,2020-02-09,369.61,94,West
Product E,2023-09-20,1487.5,12,Central
Product E,2022-10-28,142.04,31,East
Product E,2022-06-10,3370.14,35,Central
Product E,2022-08-28,2978.34,97,East
Product C,2023-03-06,2187.02,16,South
Product B,2024-01-08,4114.02,53,West
Product D,2023-12-18,1248.54,43,Central
Product E,2023-08-14,648.24,78,East
Product C,2024-02-15,2484.9,59,West
Product D,2022-05-05,4940.05,36,North
Product D,2024-04-07,3379.39,93,East
Product C,2019-12-05,457.0,50,Central
Product A,2024-07-29,1174.04,89,East
Product C,2022-06-23,2955.59,17,East
Product C,2020-01-21,2134.82,100,West
Product A,2023-10-12,2795.71,35,Central
Product B,2021-12-23,223.35,28,North
Product E,2020-11-26,1109.78,11,West
Product D,2022-12-13,2118.94,95,North
Product A,2022-01-01,4167.92,51,South
Product E,2022-12-29,3419.94,81,East
Product C,2020-04-18,4545.16,90,South
Product C,2023-10-03,3937.46,45,South
Product B,2022-07-06,1250.36,65,West
Product C,2020-06-12,3759.25,94,North
Product A,2023-01-27,1474.91,4,West
Product C,2020-11-13,3322.26,9,West
Product C,2021-10-09,1619.8,100,North
Product D,2023-01-26,577.66,51,Central
Product B,2020-02-18,3933.46,96,West
Product E,2024-08-20,3765.93,95,Central
Product A,2023-09-22,4002.97,40,Central
Product D,2021-05-16,577.4,44,West
Product A,2023-06-21,664.41,33,West
Product B,2023-02-05,2276.69,38,North
Product A,2021-03-10,4107.91,26,East
Product A,2023-07-29,3383.77,43,South
Product E,2021-01-01,2215.92,17,North
Product E,2020-12-17,976.6,14,Central
Product D,2024-09-25,4611.08,3,South
Product D,2022-03-01,4820.29,65,Central
Product C,2022-01-01,2838.03,7,South
Product B,2020-09-28,4999.47,32,East
Product A,2024-07-16,2262.12,52,Central
Product A,2024-02-25,2118.9,30,South
Product A,2023-07-13,1608.77,17,West
Product C,2021-06-11,1644.96,44,West
Product A,2021-07-07,137.32,88,West
Product C,2021-02-12,820.99,42,North
Product D,2021-01-16,1519.94,95,Central
Product B,2022-12-06,4756.73,28,North
Product D,2023-10-13,3292.21,100,West
Product D,2022-07-28,154.42,87,West
Product B,2024-05-21,2385.55,4,South
Product D,2023-11-28,4922.82,35,Central
Product A,2021-06-08,2281.46,15,South
Product B,2022-01-08,3424.77,35,South
Product B,2020-09-22,1867.76,74,East
Product C,2020-09-27,3053.62,26,South
Product C,2020-05-01,2591.47,10,East
Product A,2022-09-08,775.34,62,North
Product A,2020-08-06,2654.98,47,North
Product E,2022-10-09,577.68,52,South
Product E,2022-01-16,2747.16,79,Central
Product E,2021-11-14,3413.76,25,Central
Product D,2022-03-22,3098.68,72,West
Product A,2021-10-03,4724.93,94,Central
Product E,2023-07-12,137.59,68,Central
Product B,2021-06-02,2314.32,66,West
Product B,2022-11-27,2585.38,48,West
Product E,2023-06-07,4584.83,84,Central
Product D,2021-04-08,1228.65,21,Central
Product C,2024-02-14,2839.06,28,West
Product D,2023-01-04,1906.21,46,Central
Product B,2024-04-18,530.88,34,East
Product A,2021-07-29,2863.67,44,Central
Product C,2019-12-09,774.5,97,East
Product D,2022-09-02,892.81,51,West
Product C,2021-03-27,294.33,8,East
Product D,2023-04-10,4284.91,48,East
Product B,2020-05-22,2759.74,72,Central
Product D,2024-08-11,3416.41,15,West
Product C,2024-03-25,2101.11,37,South
Product B,2024-09-21,3226.39,34,East
Product B,2023-07-03,2399.35,89,East
Product B,2024-02-10,3255.55,5,South
Product A,2022-07-01,2100.66,19,West
Product A,2022-05-19,965.69,56,Central
Product C,2020-07-11,357.69,9,North
Product B,2022-06-01,134.18,30,West
Product B,2020-07-18,815.04,19,South
Product E,2022-01-02,719.18,99,West
Product B,2024-06-17,4537.63,31,West
Product A,2022-07-03,3283.97,9,West
